StationID,SumReal,Quality
A10,-0.9988991164733079,medium
A23,4.325811993702809,medium
A27,1.385692658339261,medium
A28,-1.9781405563262846,medium
A29,4.523322533346399,medium
A5,-3.8156627835737513,medium
A53,3.17257127118417,medium
A58,10.087889284426295,degraded
A6,1.0202965820315424,medium
A66,-6.508634442185318,reference
DBC2,10.542538660410246,degraded
DCC2,-2.1710340837107314,medium
DCE3,8.977077231142363,degraded
DJC2,9.045204986263201,degraded
GL1,-5.862846122915862,reference
MCE2,11.553430019868228,degraded
S1,-6.07075795917285,reference
S10,1.2456177009676677,medium
S100,-0.6747471872862798,medium
S101,-2.657449002213727,medium
S102,-3.7246119603007246,medium
S11,-0.2545347785690173,medium
S12,8.3815424122521,degraded
S13,3.0801335587465553,medium
S14,3.073286985106166,medium
S15,5.07346246096795,medium
S16,1.9198189110369501,medium
S17,-1.7130379495838062,medium
S18,-2.8935757996696996,medium
S19,-0.29260175859053916,medium
S20,0.17261070554505498,medium
S21,0.22588728759094623,medium
S21(5),-1.0531473972618386,medium
S22,-4.163867155497221,medium
S23,-1.5335221050951573,medium
S24,1.6358979780374763,medium
S25,-3.823968827750429,medium
S27,10.84743220793521,degraded
S27(5),11.993252201978667,degraded
S28,-2.7757741474352224,medium
S28(5),-1.4270247307634718,medium
S3,4.316567452075605,medium
S36,-0.06957396232990098,medium
S37,-3.4854306517824467,medium
S38,-9.25986654572605,reference
S39,-2.3581012563345176,medium
S4,6.3777463341296095,degraded
S40,1.0215303621477327,medium
S41,-2.620344801005237,medium
S42,-1.2246887851584196,medium
S43,0.2834272438857304,medium
S44,-1.8891197899878982,medium
S45,2.1247581357115233,medium
S46,5.780862118245533,degraded
S47,-0.40238594475018274,medium
S48,-0.9322925964004958,medium
S49,-0.6216113586844747,medium
S5,13.386274841774556,degraded
S50,-5.350768833275783,reference
S51,-11.053872303380452,reference
S52,-9.072471406971534,reference
S53,-12.430871697760345,reference
S54,-14.741087454786996,reference
S55,-4.360369561177346,reference
S56,-5.750136167028565,reference
S57,3.3500378866298153,medium
S58,-0.7145296399891591,medium
S60,0.14946544849296473,medium
S61,8.247240737869458,degraded
S62,2.4511070972885873,medium
S63,-2.50472809017933,medium
S64,-5.8699340244798845,reference
S65,-16.69691926668567,reference
S66,-1.5648453733474292,medium
S67,-1.0443211638437255,medium
S68,-3.1465315659626674,medium
S69,-3.273538019094878,medium
S70,-12.452797765901717,reference
S72,-10.587188464967102,reference
S74,-6.778838613302982,reference
S78,5.142624402404721,degraded
S79,-5.497351052574857,reference
S8,-2.405490092834191,medium
S80,1.1264933262712125,medium
S81,-10.167819727219012,reference
S82,-4.344305144774352,medium
S83,0.7208494986696881,medium
S84,5.322387849057779,degraded
S85,21.939384799471704,degraded
S87,-1.2590938196663453,medium
S89,9.612798784592016,degraded
S9,-2.4657982036770854,medium
S90,6.136366616698257,degraded
S93,-7.008255021594337,reference
S94,4.416073023774617,medium
S95,-3.258172163454507,medium
S96,-7.020820011866063,reference
S97,-4.930047324815623,reference
S98,13.771240602046868,degraded
S99,-2.352943351355785,medium
UBC1,9.384399853197737,degraded
UCC1,7.896004289633762,degraded
UCE1,-0.14006035883286305,medium
UJC1,10.260740906386722,degraded
